date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:33	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Sun,%2023%20Oct%202022%2006:05:19%20GMT	https://www.youtube.com/t/press	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/t/press.28.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:34	244/244	---M--	302	error ('Found')	text/html	date:Sun,%2023%20Oct%202022%2006:05:20%20GMT	https://www.youtube.com/yt/press/en/index.html	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/yt/press/en/index.29.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:34	239/239	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:12%20GMT	https://www.youtube.com/yt/creators/get-started.html	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/yt/creators/get-started.2a.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:34	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:12%20GMT	https://www.youtube.com/intl/en/yt/about/press/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/intl/en/yt/about/press/index.html	(from https://www.youtube.com/t/contact_us/)
11:35:35	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:12%20GMT	https://www.youtube.com/creators/benefits/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/creators/benefits/index.html	(from https://www.youtube.com/t/contact_us/)
11:35:35	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Sun,%2023%20Oct%202022%2006:05:21%20GMT	https://www.youtube.com/t/advertising_overview	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/t/advertising_overview.2b.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:35	225/225	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:13%20GMT	https://www.youtube.com/yt/advertise/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/yt/advertise/index.html	(from https://www.youtube.com/t/contact_us/)
11:35:36	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Sun,%2023%20Oct%202022%2006:05:21%20GMT	https://www.youtube.com/t/contentid	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/t/contentid.2c.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:36	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:13%20GMT	https://www.youtube.com/yt/dev	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/yt/dev.2d.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2023%20Oct%202022%2006:05:23%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/YT%20Copy/www.googletagmanager.com/gtm.2e5445.delayed	(from https://www.youtube.com/creators/)
